"name","origin","threat","speakers","lat","lon","desc"
"Polesian","Belarus, Poland, Ukraine","Vulnerable","800000",51.8629,23.9501,"the south-west of Belarus, the north-west of the Ukraine and adjacent Poland; a regional language not recognized by the SIL"
"Tamaceq","Mali","Definitely endangered","800000",16.7992,-3.0102,"Central, and northeast Mali, Kidal, Tombouctou areas. 
Also spoken in Algeria, Burkina Faso
"
"Avar","Russian Federation","Vulnerable","784840",42.4801,46.8017,"parts of the Republic of Daghestan"
"Mundari","India","Vulnerable","750000",22.3297,86.0449,"Jharkhand, mainly in  Ranchi Dt.; some speakers in Madhya Pradesh"
"Welsh","United Kingdom of Great Britain and Northern Ireland","Vulnerable","750000",52.4459,-3.5485,"Wales and adjacent parts of England; í©migrí© communities in Patagonia"
"Angika","India, Nepal","Vulnerable","740892",24.7451,85.3124,"Bihar and Jharkhand"
"Q'eqchi' (Guatemala)","Guatemala","Vulnerable","716101",15.4707,-90.3722,"Uspantíçn, Cobíçn, Panzí_s, Senahí_, San Pedro Carchíç, San Juan Chamelco, Lanquí_n, Cahabí_n, Chisec, Chahal, San Luis Sayaxchí©, El Estor, Livingston"
"Picard","Belgium, France","Severely endangered","700000",50.2331,2.7905,"the regions of Picardy (Picardie) and Nord-Pas-de-Calais, France; the area extending from Tournai to Mons in the western part of the province of Hainaut, Belgium"
"Kokborok","Bangladesh, India","Vulnerable","695000",23.7752,91.6918,"Triupura, and Karimjang Dt. of Assam"
"Basque","Spain, France","Vulnerable","660000",43.133,-2.0764,"Basque Autonomous Region (the provinces of Bizkaia, Gipuzkoa and Araba) and the autonomous province of Navarre, Spain; Labourd, Basse-Navarre and Soule in the department of Pyrí©ní©es-Atlantiques, France"
"Kabard-Cherkes","Russian Federation, Turkey","Vulnerable","650000",43.7393,43.4289,"the Kabard-Balkar Republic and the Karachay-Cherkes Republic in the Russian Federation as well as diaspora communities in Turkey and the Middle East"
"Mandeali","India","Definitely endangered","611930",31.4099,76.9921,"Himachal Pradesh"
"Friulian","Italy","Definitely endangered","600000",46.1037,13.1396,"the Autonomous Region Friuli-Venezia Giulia except Trieste Province and western and eastern border regions, and Portogruaro area in Venezia Province in Veneto Region; also spoken in í©migrí© communities in Romania and elsewhere"
"Quechua of Ancash and Huíçnuco","Peru","Definitely endangered","600000",-9.4598,-77.1789,"Zona central del Perí_, departamentos de  Ancash Y Huíçnuco."
"Walloon","Belgium, France, Luxembourg","Definitely endangered","600000",50.4575,4.8559,"the greater part of the province of LiíÂge, the southern part of the province of Brabant, the province of Namur, the northern part of the province of Luxembourg and the eastern part of the province of Hainaut, Belgium; the north of the department of Ardennes (town of Givet), France, where severely endangered; formerly also in two or three villages (Doncols, Sonlez) in Luxemburg, where the last speakers died in the 1970s"
"Mising","India","Definitely endangered","550000",26.9612,94.0539,"Assam, mostly Lakhimpur, Sonitpur and Dhemaji districts; some speakers also live across the border in Arunachal Pradesh
"
"Ossete","Georgia, Russian Federation","Vulnerable","550000",42.9564,44.4946,"North Ossetia and South Ossetia"
"Mizo","India","Vulnerable","529000",22.9988,92.9223,"throughout Mizoram; Manipur, Churachandpur Dt. Also spoken in Burma"
"Dargwa","Russian Federation","Vulnerable","503523",42.1145,47.4938,"parts of the Republic of Daghestan"
"Aromanian","Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","Definitely endangered","500000",40.2292,21.1376,"Thessaly and Epirus in northern Greece; the central parts of Albania; several small pockets in the FYROM, Greece and Bulgaria; immigrant groups deriving from the eighteenth century in Serbia, especially between Niç and Kladovo; many Aromanian immigrants since the early twentieth century also in Romania"
"Brahui","Iran (Islamic Republic of), Pakistan, Afghanistan","Vulnerable","500000",29.0369,66.5826,"Kalat district and parts of Hyderabad, Karachi and Khairpur districts; also small communities in Afghanistan and Iran"
"Languedocian","France","Severely endangered","500000",43.8899,2.5378,"an area from Bordeaux in the northwest to Montpellier in the southeast, and from Toulouse in the southwest to Rodez in the northeast, covering the departments of Aveyron, Lot, Lot-et-Garonne, Tarn-et-Garonne, Tarn, Aude, Hí©rault, the eastern parts of Haute-Garonne and AriíÂge, the southern parts of Dordogne, the Aurillac region of Cantal, the western parts of Gard, and smaller areas in LozíÂre, Pyrí©ní©es-Orientales, and Gironde; the original ISO code [lnc] for Languedocian has been retired and replaced with [oci] on false grounds"
"Lezgian","Azerbaijan, Russian Federation","Vulnerable","500000",41.4921,48.0541,"southern Daghestan in the Russian Federation; northern Azerbaijan"
"Mahasui","India","Definitely endangered","496024",31.2738,77.1295,"Himachal Pradesh"
"Magar","Nepal","Definitely endangered","489383",28.0816,83.4301,"PÛlpÛ, SyÛà_jÛ, Tanah© and GorkhÛ districts."
"Mam (Guatemala)","Guatemala","Vulnerable","477717",14.9305,-91.9078,"Towns of Tejumulco and Ichiguíçn in Huehuetenango; towns of San Miguel Ixtahuacíçn, Concepcií_n Tutapa and others in
San Marcos dept; San Sebastiíçn, town of Todos Santos Cuchumatíçn and other towns in Huehuetenango dept., Quetzaltenango dept., Retalhuleu dept, San Juan Ostuncalco, San Martí_n Sacatepequez and other towns in Ostuncalco"
"Udmurt","Russian Federation","Definitely endangered","463837",57.2315,52.8662,"the Udmurt Republic and parts of Tatarstan, the Republic of Mariy-El, Bashkortostan, and Kirov (Vyatka) and Permäó» provinces"
"Huasteca Níçhuatl","Mexico","Vulnerable","463183",21.3835,-98.9902,"Locality of Xilitla and others in the municipality of Tamazunchale, municipalities of Cuatlamayíçn, Coxcatlíçn, and others in the state of San Luis Potosí_; municipalities of Platí_n Síçnchez, Chicontepec, ílamo, Ixhuatlíçn de Madero in the state of Veracruz; municipality of Francisco Z. Mena in the state of Puebla; municipalities of Tepehuacíçn de Guerrero, Huautla, Yahualica, Xoxiatipan, Tianguistengo, Zacualtipan and Metzquititlíçn in the state of Hidalgo"
"Kumyk","Russian Federation","Vulnerable","458121",43.397,46.9775,"parts of the Republic of Daghestan"
"Yakut","Russian Federation","Vulnerable","456288",62.3496,130.8691,"the Republic of Sakha (Yakutia)"
"Kaqchikel (Guatemala)","Guatemala","Vulnerable","444954",14.7814,-90.7925,"Among the many localities listed in Ethnologue: Acatenango in the municipality of Acatenango, Chimaltenango department; Sacatepí©quez department; San Martí_n in municipality of Jilotepeque; Chimaltenango in municipality of Santa Marí_a de Jesí_s, Santo Domingo Xenacoj, Antigua, department of Sololíç"
"Karbi","India","Vulnerable","420000",26.2934,93.2299,"Assam, Karbi Anglong, Kamrup and Nowgong districts; Meghalaya, Jaintia, and East Khasi Hills districts; Nagaland, around Dimapur."
"Eastern Mari","Russian Federation","Definitely endangered","414211",56.632,47.8784,"central and eastern parts of the Republic of Mariy-El and parts of Bashkortostan, Tatarstan, the Udmurt Republic, and Yekaterinburg, Permäó» and Orenburg provinces"
"Ingush","Russian Federation","Vulnerable","405343",43.145,45.1043,"the Republic of Ingushetia and adjecent regions"
"Erzya","Russian Federation","Definitely endangered","400000",54.1302,45.4394,"the eastern parts but also small pockets in the northwest and south of the Republic of Mordovia; also several areas in Nizhniy Novgorod, Samara, Saratov and Orenburg provinces, Tatarstan and Bashkortostan"
"Ho","India","Vulnerable","400000",21.637,86.4404,"Jharkhand, Singhbhum Dt.; Orissa, Mayurbhanj and Koenjhar districts; West Bengal. "
"Judezmo (Israel)","Israel","Severely endangered","400000",32.0872,34.7737,"resettled communities in Israel where the majority of the speakers live, and in the United States and several European countries; cf. Judezmo (Europe)"
"Lalo","China","Vulnerable","400000",25.383,99.9426,""
"Limousin","France","Severely endangered","400000",46.0579,1.8017,"the departments of Corrí©ze and Haute-Vienne, most of Creuse, the northern parts of Dordogne, and the eastern parts of Charente; the original ISO code [lms] for Limousin has been retired on false grounds"
"Logudorese","Italy","Definitely endangered","400000",40.1116,9.1845,"central Sardinia"
"Mapuche (Chile)","Chile","Definitely endangered","400000",-38.5653,-73.081,"Regií_n La Araucaní_a (provinces of Cautí_n and Malleco). Provinces of Arauco, Bí_o-Bí_o and Valdivia. Dispersed areas in Argentina: Neuquí©n, Chubut, La Pampa, Buenos Aires."
"Central Níçhuatl","Mexico","Vulnerable","395581",19.191,-99.0236,"Locality of Milpa Alta and others with few remaining speakers in the south of the Distrito Federal; several municipalities in the state of Mexico such as Tianguistenco, Jalatlaco, Coyotepec and Huehuetoca; municipalities of Chiautempan, Mazatecocho, Contla and othes in the state of Tlaxcala; several municipalities in the state of Puebla such as Atlixco and Huejotzingo;  in the state of Hidalgo, municipalities such as Acaxochitlíçn and Pahuatlíçn; in the state of Veracruz, several municipalities such as Rafael Delgado and Zongolica; municipality of Teotitlíçn and others in the state of Oaxaca"
"Moselle Franconian","Germany, Belgium, France, Luxembourg","Vulnerable","390000",49.6071,6.1248,"Luxembourg and adjacent regions of neighbouring countries"
"Bantawa","Nepal","Vulnerable","371056",27.0994,87.0048,"Bhojur district in Nepal.
Bantawa Rai that migrated to Sikkim, India, can be mainly found in the West District (Youksom, Tashiding, Geyzing, Dentam, Rinchenpong, Soreng, Jorthang), South District (Ralong, Damthang, Namchi, Temi, Tarku, Melli) and in the East District (Gangtok, Badong, Rumtek, Pakyong, Rehnok, Regu, Rolep Assam Lingjey).
"
"Santa","China","Vulnerable","360000",35.5411,102.7935,"Dongxiang Autonomous County of Linxia Hui Autonomous Prefecture, Gansu Province; also í©migrí© communities elsewhere in Gansu and in Sinkiang (Xinjiang)"
"Mingrelian","Georgia","Definitely endangered","350000",42.4599,41.7205,"western lowlands of Georgia"
"West Frisian","Netherlands","Vulnerable","350000",53.1006,5.6579,"the province of Friesland and the western parts of the province of Groningen"
"Gurung","Nepal","Definitely endangered","338925",28.275,84.1782,"GorkhÛ , KÛskÛ, Lamjuà_ , Parbat, SyÛà_jÛ, Tanah© and DhÛdià_ districts"
"Guajiro","Colombia, Venezuela (Bolivarian Republic of)","Vulnerable","318500",11.8673,-71.9824,""
"Karachay-Balkar","Russian Federation","Vulnerable","302748",44.2137,42.8466,"parts of the Karachay-Cherkes Republic and the Kabard-Balkar Republic"
"Adyge","Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey","Vulnerable","300000",44.9181,39.7485,"the Republic of Adygea and adjacent regions in the Russian Federation and many diaspora communities in Turkey, the Middle East and Western Europe"
"Buryat (Trans-Baikal)","Russian Federation","Definitely endangered","300000",50.8336,109.5117,"the Republic of Buryatia and Aga (Aginskiy) Buryat Autonomous District and elsewhere in Chita Province"
"Kurru","India","Definitely endangered","300000",16.6151,81.6284,"Tamil Nadu, Andhra Pradesh and Karnataka"
"Kuvi","India","Definitely endangered","300000",18.9478,83.5839,"Orissa (Koraput, Kalahandi, Ganjam, and Phulbani) and Andhra Pradesh"
"Limbu","India, Nepal","Definitely endangered","300000",27.096,87.7356,"Eastern Nepal, India.
Tehrathum, IlÛm, PÛí±cthar, TÛplejuà_, Dhankuà__Û districs."
"Moroccan Judeo-Arabic (Israel)","Israel","Definitely endangered","300000",32.0476,34.7552,"Tel Aviv"
"Plautdietsch","Ukraine","Definitely endangered","300000",47.0738,35.5545,"originally Khortytsya and Molochna near Zaporizhzhya; í©migrí© communities in other parts of the Ukraine and in what is now withing the Russian Federation and further in the Americas; last speakers in the Ukraine were deported during the Second World War to Central Asia and Siberia; many speakers have recently emigrated to Germany; an outlying dialect of Low Saxon"
"Pontic Greek","Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine","Definitely endangered","300000",40.847,40.0149,"originally along the Black Sea coast of Turkey and adjacent Georgia; some speakers remain in the towns of Of and Sí_rmene, but most have emigrated to Greece; í©migrí© communities also in southern Russia and the Caucasus; an outlying dialect of Greek"
"Quichua (Cotopaxi, Tungurahua and Chimborazo)","Ecuador","Definitely endangered","300000",-1.8673,-78.9257,"Provinces of: Cotopaxi, Tungurahua (Southwest of the Province), Bolivar (Central Highlands), Chimborazo, counties of Riobamba, Colta, Guamote, Chambo, Guano, Pallatanga, Penipe and Cumandíç"
"Waxiang","China","Vulnerable","300000",28.5652,110.3576,"western Hunan"
"Oyrat","China, Kyrgyzstan, Mongolia","Definitely endangered","280000",46.195,88.7255,"the Kobdo and Ubsu aimaks of Mongolia; Bortala, Hoboksar, Tarbagatai and Bayangol regions in northern Sinkiang, Kukunor region in Qinghai Province and Alashan (Alshan) League in western lnner Mongolia, China; Chelpek and Boru Bashi, east of lssyk Kí_l, Kyrgyzstan"
"Garhwali","India","Vulnerable","279500",30.0976,79.1235,"Uttarakhand, in Garhwal area"
"Bade","Nigeria","Vulnerable","250000",12.801,11.1181,""
"Breton","France","Severely endangered","250000",48.2246,-3.9331,"western Brittany; many í©migrí© communities"
"Gascon","Spain, France","Definitely endangered","250000",43.1811,-0.1428,"the departments of Landes, Gers, and Hautes-Pyrí©ní©es, the eastern parts of Pyrí©ní©es-Atlantiques, the western parts of Haute-Garonne and AriíÂge, and the southern and western parts of Gironde, France; the Aran Valley, northwestern Catalonia, Spain; the original ISO code [gsc] for Gascon has been retired on false grounds"
"Phula (China)","China","Vulnerable","250000",22.6001,104.0004,""
"Sora","India","Vulnerable","250000",19.1244,83.2104,"Orissa, mainly Ganjam Dt., but also Koraput and Phulbani districts. Parts of Andhra Pradesh."
"Konyak","India","Vulnerable","248000",26.9367,95.1745,"Nagaland, Mon and Tuensang districts."
"Ao","India","Vulnerable","243000",26.4361,94.6472,"Wokho and parts of Mokokchung districts"
"Tuvan","China, Mongolia, Russian Federation","Vulnerable","242754",51.7134,94.3945,"the Republic of Tuva in the Russian Federation and adjacent regions in China and Mongolia"
"Nafusi","Libyan Arab Jamahiriya","Severely endangered","240000",32.6393,13.4252,"Language spoken in the regions of Tripolitania, western Libya, isolated area around the towns of Nalut and Yafran, Jabal Nafusah Region, coastal area around Zuara, west of Tripoli."
"Suret","Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey","Definitely endangered","240000",36.4477,43.2971,"Iraqi Kurdistan, western Iranian Azerbaijan and Kurdistan, northeast Syria near the Turkish border.  Extinct in Turkey.  A large number of speakers are in diaspora in Europe, North and South America, and Australia."
"Malto","India","Definitely endangered","224926",23.7853,85.4736,"Jharkhand (Godda, Santhal Pargana), Bihar and West Bengal (Bankura, Barddhaman, and Murshidabad), and also in Orissa (Mayurbhanj)"
"Khowar","Pakistan","Vulnerable","222800",35.8667,71.7956,"Chitral of NWFP; Shandur Pass to Fupis in Ghizr Valley, Yasin and Ishkhoman valleys in Gilgit Agency of Northern Areas of Pakistan."
"Maiya","Pakistan","Vulnerable","220000",35.3151,72.908,"Indus Kohistani district"
"Komi","Russian Federation","Definitely endangered","217316",62.3087,51.5917,"the Komi Republic and parts of Nenets Autonomous District, Arkhangeläó»sk Province, Yamal Nenets Autonomous District, Murmansk Province and other regions"
"Alpine Provení_al","France, Italy","Definitely endangered","200000",44.7467,6.6796,"the upper valleys of Piedmont (Val Mairo, Val Varacho, Val däó»Esturo, Entraigas, Limoun, Vinai, Pignerol, Sestriero), Italy; the departments of ArdíÂche (except the north and the western border areas), DríÇme (except the north), Hautes-Alpes, the northern parts of Alpes de Haute-Provence, and the southernmost parts of IsíÂre, France; severely endangered in France; the original joint ISO code [prv] for Alpine Provení_al and Provení_al has been retired on false grounds"
"Gallo","France","Severely endangered","200000",47.931,-2.0544,"Ille-et-Vilaine, Loire-Atlantique, dans les deux tiers est des CíÇtes d'Armor et dans le tiers Est du Morbihan."
"Gera","Nigeria","Vulnerable","200000",10.5553,10.0579,""
"Irula","India","Vulnerable","200000",11.4369,76.5032,"Tamil Nadu, Kerala, Karnataka and Andhra Pradesh"
"Kharia","India","Vulnerable","200000",21.8003,85.4956,"Jharkhand, Ranchi, West Singhbhum, and East Singhbhum districts; Chhattisgarh, Raigarh, Jashpur, Durg, Bilaspur and Raipur districts; Orissa, Sundargarh, Sambalpur and Mayurbhanj districts"
"Khorasani Turk","Iran (Islamic Republic of)","Vulnerable","200000",36.6596,57.854,"Northeast Iran, in the northern part of Khorasan Province, especially northwest of Mashhad."
"Korku","India","Vulnerable","200000",20.3034,80.2441,"Madhya Pradesh, Betul, Hoshangabad and East Nimar (Khandwa) Districts; Maharashtra, Amravati, Buldana and Akola districts."
"Moksha","Russian Federation","Definitely endangered","200000",54.1817,43.2751,"the western parts of the Republic of Mordovia and the adjacent parts of Ryazanäó» and Penza provinces; also pockets in Tatarstan and Orenburg Province"
"Western Armenian (Middle East)","Iraq, Lebanon, Syrian Arab Republic","Definitely endangered","200000",33.884,35.5133,"Primarily in the areas of Beirut, Lebanon and Aleppo, Syria; also in Cairo, Egypt and in Iraq and Turkey.  A large number of speakers are in diaspora, especially in the USA, but also in Canada, Europe, and South America."
"Western Cham","Cambodia","Vulnerable","200000",12.0333,105.4333,""
"Tshangla","Bhutan, China, India","Vulnerable","193000",27.1275,91.9335,"Eastern Bhutan, in Trashigang, PíÈmagatshí_, Samdru Jongkhar and Monggar districts.
India, Arunachal Pradesh,Tawang and West Kameng districts.
Southeastern Tibet, Motuo (Medoz, Medog) and Linzhi (Ngingchi) counties.
"
"Thado","India","Vulnerable","191000",24.4521,93.2354,"Manipur, Chandel Dt; Nagaland, Kohima District.  Also spoken in Burma, Possibly some speakers also in Mizoram."
"Gagauz (Bessarabia)","Republic of Moldova, Ukraine","Definitely endangered","180000",46.0922,28.7951,"since eighteenth- and nineteenth-century immigration, Gagauz has been spoken in the Bujak region, which covers the towns and surrounding areas of Comrat, Ceadí¬r-Lunga, Basarabeasca, Taraclia and VulcÛneôti in the south of the Republic of Moldova and the adjacent Izmail region of Odessa (Odesa) Province in the Ukraine"
"Kului","India","Definitely endangered","170770",31.4403,77.1487,"Himachal Pradesh, Kulli district"
"Adi","China, India","Vulnerable","170000",28.3527,95.2294,"East Siang District; Upper Siang District"
"Lhota","India","Vulnerable","170000",26.1603,94.3725,"Nagaland, Wokha Dt."
"Nyishi","India","Vulnerable","170000",27.5277,93.0981,"Arunachal Pradesh, Papum Pare, Lower Subansiri, Kurung Kumey and Upper Subansiri districts."
"Ngí_bere (Panama)","Panama","Vulnerable","169130",9.3395,-82.2428,"Bocas del Toro, Veraguas, Chiriquí_ provinces in western Panama"
"Kodagu","India","Definitely endangered","166187",11.6952,75.9375,"Karnataka"
"Corsican","France, Italy","Definitely endangered","160000",42.0819,9.0307,"Corsica (Corse); also spoken on Maddalena Island off the northeast coast of Sardinia and in many í©migrí© communities"
"Dzongkha","Bhutan","Vulnerable","160000",27.44,89.6731,"Western Bhutan, in Hí¢, Chukha, D'agana, 'Wardi Phodr'a, Paro, Thimphu, Pí_nakha and Gí¢sa districts"
"Kalmyk","Russian Federation","Definitely endangered","153602",46.2026,45.8239,"the Kalmyk Republic and the adjacent part of Astrakhan, Rostov, and Volgograd provinces and Stavropoläó» Region"
"Lak","Russian Federation","Vulnerable","153373",42.0125,47.2521,"parts of the Republic of Daghestan"
"Asturian-Leonese","Spain, Portugal","Definitely endangered","150000",42.7954,-5.6689,"Asturias and northwestern Castile and Leí_n, Cantabria and Extremadura, Spain; and the municipalities of Miranda do Douro and Vimioso in north-eastern Portugal"
"Latgalian","Latvia, Russian Federation","Vulnerable","150000",56.1822,27.1362,"eastern Latvia and cross-border areas in the Russian Federation; a regional language not recognized by the SIL"
"Provení_al","France","Severely endangered","150000",43.5485,6.1083,"the departments of Alpes-Maritimes (except the eastern corner), Bouches-du-RhíÇne, Var, and Vaucluse, the southern parts of Alpes de Haute-Provence, and the eastern parts of Gard; the original joint ISO code [prv] for Alpine Provení_al and Provení_al has been retired on false grounds"
"Rabha","India","Vulnerable","150000",25.9284,90.9777,"Assam, Goalpara, Kamrup and Darrang districts"
